aircraft_key,serial_number,registration,country
REG:N941WM,,N941WM,USA
REG:ZK-MDV,,ZK-MDV,New Zealand
SN:150-66378,150-66378,N2858S,USA
SN:15065046,15065046,N3746J,USA
SN:15074612,15074612,N7107G,USA
SN:15075309,15075309,N11299,USA
SN:15076446,15076446,N3259V,USA
SN:15076809,15076809,N110FM,USA
SN:15077037,15077037,N63001,USA
SN:15078894,15078894,N704UW,USA
SN:15079085,15079085,N714CY,USA
SN:172-54457,172-54457,N4378L,USA
SN:172-58690,172-58690,N1190M,USA
SN:172-59638,172-59638,N7938G,USA
SN:172-61034,172-61034,C-GBAX,Canada
SN:172-67114,172-67114,N271GT,USA
SN:172-67619,172-67619,C-GYCF,Canada
SN:172-69344,172-69344,N737DT,USA
SN:172-76350,172-76350,,
SN:17257063,17257063,N46132,USA
SN:17258181,17258181,N79567,USA
SN:17258660,17258660,N84898,USA
SN:17260834,17260834,N19886,USA
SN:17261143,17261143,N20247,USA
SN:17261227,17261227,,
SN:17262118,17262118,ZK-JFK,New Zealand
SN:17262252,17262252,N12779,USA
SN:17262384,17262384,N12933,USA
SN:17262584,17262584,N13219,USA
SN:17263356,17263356,N74JP,USA
SN:17263365,17263365,C-GXBW,Canada
SN:17264073,17264073,N22689,USA
SN:17264930,17264930,N61974,USA
SN:17265048,17265048,C-GAXV,Canada
SN:17265401,17265401,N5317H,USA
SN:17266996,17266996,N1304U,USA
SN:17269305,17269305,N737CB,USA
SN:17269904,17269904,C-FIIK,Canada
SN:17270651,17270651,,
SN:17272235,17272235,N174HA,USA
SN:17272670,17272670,N6255D,USA
SN:17273702,17273702,N5104J,USA
SN:17274105,17274105,N5423K,USA
SN:17274425,17274425,VH-BGX,Australia
SN:17274960,17274960,N54355,USA
SN:17275013,17275013,N54628,USA
SN:17275213,17275213,N62104,USA
SN:17275467,17275467,N63681,USA
SN:17276264,17276264,N98175,USA
SN:17701312,17701312,N30540,USA
SN:177RG0481,177RG0481,N74177,USA
SN:177RG0831,177RG0831,N7534V,USA
SN:177RG0980,177RG0980,N606RW,USA
SN:182266335,182266335,N759XF,USA
SN:18261847,18261847,N79933,USA
SN:18264431,18264431,N1766M,USA
SN:18265888,18265888,N759CN,USA
SN:18267955,18267955,N9483H,USA
SN:18268204,18268204,VH-LMM,Australia
SN:2552,2552,N5377D,USA
SN:51644,51644,N2344G,USA
SN:6207,6207,N58465,USA
SN:71315,71315,N2754E,USA
SN:D-6196,D-6196,N9724R,USA
SN:D-7235,D-7235,N9787Y,USA
SN:D-7802,D-7802,N14FM,USA
SN:F1500945,F1500945,TF-OII,Iceland
SN:R1722102,R1722102,N1071V,USA
SN:R1722443,R1722443,N736DK,USA
SN:R1722845,R1722845,N736WL,USA
