aircraft_key,registration,observed_date,source
SN:15075309,N11299,2026-04-16,STC intake #1
SN:15075309,N11299,2026-04-16,STC intake #2
SN:18264431,N1766M,2026-01-09,STC intake #4
SN:18267955,N9483H,2026-04-03,STC intake #5
SN:17275467,N63681,2025-10-16,STC intake #6
SN:182266335,N759XF,2025-10-07,STC intake #7
SN:172-58690,N1190M,2025-01-03,STC intake #8
SN:R1722443,N736DK,2025-04-14,STC intake #9
SN:17274425,VH-BGX,2026-04-21,STC intake #10
SN:15076809,N110FM,2026-02-20,STC intake #11
REG:N941WM,N941WM,2026-04-13,STC intake #12
SN:2552,N5377D,2026-04-06,STC intake #13
SN:71315,N2754E,2026-03-04,STC intake #14
SN:D-7802,N14FM,2025-11-10,STC intake #15
SN:17274960,N54355,2025-04-07,STC intake #16
SN:17275213,N62104,2026-07-10,STC intake #17
SN:172-59638,N7938G,2026-02-10,STC intake #18
SN:15079085,N714CY,2026-01-26,STC intake #19
SN:17266996,N1304U,2026-05-19,STC intake #20
SN:17272670,N6255D,2025-08-08,STC intake #21
SN:17263356,N74JP,2025-11-18,STC intake #22
SN:17262252,N12779,2026-02-24,STC intake #23
SN:17258660,N84898,2026-03-11,STC intake #24
SN:17269305,N737CB,2026-06-29,STC intake #25
SN:172-61034,C-GBAX,2026-02-04,STC intake #26
SN:51644,N2344G,2026-03-18,STC intake #27
REG:ZK-MDV,ZK-MDV,2026-04-28,STC intake #28
SN:17264073,N22689,2025-11-23,STC intake #29
SN:17261143,N20247,2023-09-25,STC intake #30
SN:17260834,N19886,2026-05-13,STC intake #31
SN:177RG0831,N7534V,2026-05-14,STC intake #32
SN:15078894,N704UW,2025-10-07,STC intake #33
SN:17274105,N5423K,2026-02-23,STC intake #34
SN:18268204,VH-LMM,2026-05-28,STC intake #35
SN:17262584,N13219,2026-05-26,STC intake #36
SN:R1722102,N1071V,2025-04-04,STC intake #37
SN:D-7235,N9787Y,2026-07-01,STC intake #38
SN:17265401,N5317H,2024-12-06,STC intake #39
SN:172-54457,N4378L,2026-07-17,STC intake #40
SN:150-66378,N2858S,,STC intake #41
SN:6207,N58465,2025-08-26,STC intake #42
SN:15065046,N3746J,,STC intake #43
SN:15077037,N63001,2025-08-07,STC intake #44
SN:177RG0481,N74177,2026-07-22,STC intake #45
SN:17257063,N46132,2026-07-05,STC intake #46
SN:17264930,N61974,2025-04-08,STC intake #47
SN:18261847,N79933,2025-05-26,STC intake #48
SN:172-67619,C-GYCF,,STC intake #49
SN:17262118,ZK-JFK,2025-10-05,STC intake #50
SN:R1722845,N736WL,2026-06-12,STC intake #51
SN:17269904,C-FIIK,2026-06-12,STC intake #52
SN:17275013,N54628,2026-04-10,STC intake #53
SN:17276264,N98175,2026-05-21,STC intake #54
SN:18265888,N759CN,,STC intake #55
SN:17273702,N5104J,2025-05-14,STC intake #56
SN:17262384,N12933,2025-04-04,STC intake #57
SN:17258181,N79567,2026-04-29,STC intake #59
SN:15076446,N3259V,2025-10-23,STC intake #60
SN:F1500945,TF-OII,2026-06-11,STC intake #61
SN:17263365,C-GXBW,2025-10-14,STC intake #63
SN:172-67114,N271GT,2025-11-10,STC intake #64
SN:15074612,N7107G,2026-07-27,STC intake #65
SN:D-6196,N9724R,2025-09-18,STC intake #66
SN:17701312,N30540,2025-10-31,STC intake #67
SN:177RG0980,N606RW,2026-05-13,STC intake #68
SN:17272235,N174HA,,STC intake #69
SN:172-69344,N737DT,2025-09-19,STC intake #70
SN:17265048,C-GAXV,,STC intake #71
