kit_part_number,component_part_number,line_number,qty_per_kit,uom
AC500-C1,SK4002-3S,1,71,ea
AC500-C1,SK4002-4S,2,155,ea
AC500-C1,SK4002-5S,3,10,ea
AC500-C1,SK4002-6S,4,4,ea
AC500-C1,SK-NS,5,220,ea
AC500-C1,SK-R4GS,6,220,ea
AC500-C1,SK2700-3S,7,69,ea
AC500-C1,SK2700-4S,8,4,ea
AC500-C1,SK2600-SW,9,70,ea
AC500-C1,MS51957-45,10,25,ea
AC500-C1P,SK40S5-3S,1,71,ea
AC500-C1P,SK40S5-4S,2,155,ea
AC500-C1P,SK40S5-5S,3,10,ea
AC500-C1P,SK40S5-6S,4,4,ea
AC500-C1P,SK-NS,5,220,ea
AC500-C1P,SK-R4GS,6,220,ea
AC500-C1P,SK27S3-3S,7,69,ea
AC500-C1P,SK27S3-4S,8,4,ea
AC500-C1P,SK2600-SW,9,70,ea
AC500-C1P,MS51957-45,10,35,ea
AC500-C2,SK4002-3S,1,25,ea
AC500-C2,SK4002-6S,2,10,ea
AC500-C2,SK4002-7S,3,4,ea
AC500-C2,SK4002-8S,4,38,ea
AC500-C2,SK-OS,5,48,ea
AC500-C2,SK-NS,6,25,ea
AC500-C2,SK-R4GS,7,75,ea
AC500-C2,MS24694-C49,8,25,ea
AC500-C2,MS24694-C50,9,25,ea
AC500-C2,MS24694-C51,10,50,ea
AC500-C2,MS24694-C52,11,25,ea
AC500-C2A,SK4002-5S,1,48,ea
AC500-C2A,SK4002-6S,2,36,ea
AC500-C2A,SK4002-7S,3,28,ea
AC500-C2A,SK4002-8S,4,4,ea
AC500-C2A,SK-OS,5,68,ea
AC500-C2A,SK-NS,6,44,ea
AC500-C2A,SK-R4GS,7,112,ea
AC500-C2A,MS24694-C49,8,25,ea
AC500-C2A,MS24694-C50,9,25,ea
AC500-C2A,MS24694-C51,10,50,ea
AC500-C2A,MS24694-C52,11,25,ea
AC500-C2AP,SK40S5-5S,1,48,ea
AC500-C2AP,SK40S5-6S,2,36,ea
AC500-C2AP,SK40S5-7S,3,28,ea
AC500-C2AP,SK40S5-8S,4,4,ea
AC500-C2AP,SK-OS,5,68,ea
AC500-C2AP,SK-NS,6,44,ea
AC500-C2AP,SK-R4GS,7,112,ea
AC500-C2AP,MS24694-C49,8,25,ea
AC500-C2AP,MS24694-C50,9,25,ea
AC500-C2AP,MS24694-C51,10,50,ea
AC500-C2AP,MS24694-C52,11,25,ea
AC500-C2P,SK40S5-3S,1,25,ea
AC500-C2P,SK40S5-6S,2,10,ea
AC500-C2P,SK40S5-7S,3,4,ea
AC500-C2P,SK40S5-8S,4,38,ea
AC500-C2P,SK-OS,5,48,ea
AC500-C2P,SK-NS,6,25,ea
AC500-C2P,SK-R4GS,7,75,ea
AC500-C2P,MS24694-C49,8,25,ea
AC500-C2P,MS24694-C50,9,25,ea
AC500-C2P,MS24694-C51,10,50,ea
AC500-C2P,MS24694-C52,11,25,ea
AC500-C3,SK4002-3S,1,30,ea
AC500-C3,SK4002-4S,2,2,ea
AC500-C3,SK4002-5S,3,10,ea
AC500-C3,SK4002-6S,4,4,ea
AC500-C3,SK4002-7S,5,38,ea
AC500-C3,SK4002-8S,6,2,ea
AC500-C3,SK-NS,7,28,ea
AC500-C3,SK-OS,8,48,ea
AC500-C3,SK-R4GS,9,78,ea
AC500-C3,MS24694-C50,10,25,ea
AC500-C3,MS24694-C51,11,50,ea
AC500-C3P,SK40S5-7S,1,38,ea
AC500-C3P,SK40S5-5S,2,10,ea
AC500-C3P,SK40S5-4S,3,2,ea
AC500-C3P,SK40S5-6S,4,4,ea
AC500-C3P,SK40S5-8S,5,2,ea
AC500-C3P,SK40S5-3S,6,30,ea
AC500-C3P,SK-OS,7,48,ea
AC500-C3P,SK-NS,8,28,ea
AC500-C3P,SK-R4GS,9,78,ea
AC500-C3P,MS24694-C50,10,25,ea
AC500-C3P,MS24694-C51,11,50,ea
AC500-C4,SK4002-4S,1,100,ea
AC500-C4,SK4002-5S,2,8,ea
AC500-C4,SK4002-6S,3,18,ea
AC500-C4,SK4002-7S,4,10,ea
AC500-C4,SK4002-8S,5,4,ea
AC500-C4,SK-NS,6,130,ea
AC500-C4,SK-R4GS,7,130,ea
AC500-C4,SKAJ4-30SS,8,8,ea
AC500-C4,SKAJ4-35SS,9,8,ea
AC500-C4,NAS1515-H-3L,10,16,ea
AC500-C4P,SKAJ4-30SS,1,8,ea
AC500-C4P,SKAJ4-35SS,2,8,ea
AC500-C4P,NAS1515-H-3L,3,16,ea
AC500-C4P,SK40S5-4S,4,100,ea
AC500-C4P,SK40S5-5S,5,8,ea
AC500-C4P,SK40S5-6S,6,18,ea
AC500-C4P,SK40S5-7S,7,10,ea
AC500-C4P,SK40S5-8S,8,4,ea
AC500-C4P,SK-NS,9,130,ea
AC500-C4P,SK-R4GS,10,130,ea
AC690-NA1P,SK40S5-3S,1,30,ea
AC690-NA1P,SK-NS,2,30,ea
AC690-NA1P,SK-R4GS,3,30,ea
AC690-NA1S,SK4002-3S,1,30,ea
AC690-NA1S,SK-NS,2,30,ea
AC690-NA1S,SK-R4GS,3,30,ea
B35LC2090,SK112060-1-090,1,20,ea
B35LC2090,SK99785-2S,2,20,ea
B35LC2090,SK295846-2,3,20,ea
B35LC27S,SK2700-2S,1,20,ea
B35LC27S,SK27S5-1S,2,20,ea
B35LC27S,SK213-2,3,20,ea
B35LC27S,MS20426AD3-4C,4,1,ea
B35LC27S,B35-INSTRUCTIONS,5,1,ea
B35LC28P,SK28S3-2S,1,20,ea
B35LC28P,SK27S5-1S,2,20,ea
B35LC28P,SK213-2,3,20,ea
B35LC28P,MS20426AD3-4C,4,1,ea
B35LC28P,B35-INSTRUCTIONS,5,1,ea
B35LC40P,SK40S5-2S,1,20,ea
B35LC40P,SK-GS,2,20,ea
B35LC40P,SK-R4GS,3,20,ea
B35LC40P,SK215-4D,4,20,ea
B35LC40P,NAS1097AD4-5C,5,1,ea
B35LC40P,Template-245,6,1,ea
B35LC40P,B35-INSTRUCTIONS,7,1,ea
B35LC40S,SK4002-2S,1,20,ea
B35LC40S,SK-GS,2,20,ea
B35LC40S,SK-R4GS,3,20,ea
B35LC40S,SK215-4D,4,20,ea
B35LC40S,NAS1097AD4-5C,5,1,ea
B35LC40S,Template-245,6,1,ea
B35LC40S,B35-INSTRUCTIONS,7,1,ea
B35LC5080,SK294186-1-080,1,20,ea
B35LC5080,SK99836S,2,20,ea
B35LC5080,SK295250-1,3,20,ea
B35LC5100,SK294186-1-100,1,20,ea
B35LC5100,SK99836S,2,20,ea
B35LC5100,SK295250-1,3,20,ea
B35UC40P,SK40S5-3S,1,8,ea
B35UC40P,SK-NS,2,8,ea
B35UC40P,SK-R4GS,3,8,ea
B35UC40P,SK215-435,4,8,ea
B35UC40P,MS24693-S3,5,25,ea
B35UC40P,LOCTITE271,6,1,ea
B35UC40P,Template-245,7,1,ea
B35UC40P,B35-INSTRUCTIONS,8,1,ea
B35UC40S,SK4002-3S,1,8,ea
B35UC40S,SK-NS,2,8,ea
B35UC40S,SK-R4GS,3,8,ea
B35UC40S,SK215-435,4,8,ea
B35UC40S,MS24693-S3,5,25,ea
B35UC40S,LOCTITE271,6,1,ea
B35UC40S,Template-245,7,1,ea
B35UC40S,B35-INSTRUCTIONS,8,1,ea
B35UC530,SKAJ5-30SS,1,8,ea
B35UC530,SKGA5-312,2,8,ea
B55-AFP,SK294186-1-100,1,4,ea
B55-AFP,SK99836S,2,4,ea
B55-AS1,SK294186-2-180,1,16,ea
B55-AS1,SK294186-2-210,2,4,ea
B55-AS1,SK99836S,3,20,ea
B55-AS1,SK112060-1-090,4,12,ea
B55-AS1,SK99785-2S,5,12,ea
B55-AS2,SK294186-2-200,1,20,ea
B55-AS2,SK99836S,2,20,ea
B55-AS2,SK112060-1-090,3,12,ea
B55-AS2,SK99785-2S,4,12,ea
B55-AS3,SK294186-2-200,1,16,ea
B55-AS3,SK99836S,2,16,ea
B55-AS3,SK112060-1-090,3,12,ea
B55-AS3,SK99785-2S,4,12,ea
