part_number,description
10RX1/2FHAS100,10RX1/2FHAS100 - #10 Phillips Head
10RX1/2FHBS100 (DISCONTINUED),10RX1/2FHBS100 (DISCONTINUED) - 10RX1/2FHBS100 - #10 Phillips Head
10RX1/2THAS,10RX1/2THAS - #10 Phillips Head
10RX1/2THBS,10RX1/2THBS - #10 Phillips Head
10RX3/4THAS,10RX3/4THAS - #10 Phillips Head
10RX3/4THBS,10RX3/4THBS - #10 Phillips Head
10RX5/8THA,10RX5/8THA - #10 Phillips Head (sold in bags of 100)
10RX5/8THAS,10RX5/8THAS - #10 Phillips Head
130008,130008 - #8-32
4LR,4LR - 4 Drawer slide Rack
4RX1/2FHAS100,4RX1/2FHAS100 - #4 Phillips Head
4RX1/2OHAS,4RX1/2OHAS - #4 Phillips Head
4RX1/2THAS,4RX1/2THAS - #4 Phillips Head
4RX1/4THAS,4RX1/4THAS - #4 Phillips Head
4RX3/8THA,4RX3/8THA - #4 Phillips Head (sold in bags of 100)
4RX3/8THAS,4RX3/8THAS - #4 Phillips Head
4RX3/8THBS,4RX3/8THBS - #4 Phillips Head
4RX5/8THAS,4RX5/8THAS - #4 Phillips Head
6RX1/2FHAS100,6RX1/2FHAS100 - #6 Phillips Head
6RX1/2OHAS,6RX1/2OHAS - #6 Phillips Head
6RX1/2THA,6RX1/2THA - #6 Phillips Head (sold in bags of 100)
6RX1/2THAS,6RX1/2THAS - #6 Phillips Head
6RX1/2THB,6RX1/2THB - #6 Phillips Head
6RX1/2THBS,6RX1/2THBS - #6 Phillips Head
6RX3/8THA,6RX3/8THA - #6 Phillips Head (sold in bags of 100)
6RX3/8THAS,6RX3/8THAS - #6 Phillips Head
6RX3/8THBS,6RX3/8THBS - #6 Phillips Head
6RX5/8THAS,6RX5/8THAS - #6 Phillips Head
6RX5/8THBS,6RX5/8THBS - #6 Phillips Head
82-11-100-20,82-11-100-20 - #82 Slotted Oval Head Stud - Stainless
82-11-120-20,82-11-120-20 - #82 Slotted Oval Head Stud - Stainless
82-11-140-20,82-11-140-20 - #82 Slotted Oval Head Stud - Stainless
82-11-160-20,82-11-160-20 - #82 Slotted Oval Head Stud - Stainless
82-11-180-20,82-11-180-20 - #82 Slotted Oval Head Stud - Stainless
82-11-200-20,82-11-200-20 - #82 Slotted Oval Head Stud - Stainless
82-14-100-20,82-14-100-20 - #82 Slotted Flush Head Stud - Stainless
82-14-120-20 (Discontinued),82-14-120-20 (Discontinued) - 82-14-120-20 - #82 Slotted Flush Head Stud - Stainless
82-14-140-20,82-14-140-20 - #82 Slotted Flush Head Stud - Stainless
82-14-160-20,82-14-160-20 - #82 Slotted Flush Head Stud - Stainless
82-14-180-20 (Discontinued),82-14-180-20 (Discontinued) - 82-14-180-20 - #82 Slotted Flush Head Stud - Stainless
82-14-240-20,82-14-240-20 - #82 Slotted Flush Head Stud - Stainless
82-14-260-20,82-14-260-20 - #82 Slotted Flush Head Stud - Stainless
82-19-100-20,82-19-100-20 - #82 Phillips Oval Head Stud - Stainless
82-19-120-20,82-19-120-20 - #82 Phillips Oval Head Stud - Stainless
82-19-140-20,82-19-140-20 - #82 Phillips Oval Head Stud - Stainless
82-19-160-20,82-19-160-20 - #82 Phillips Oval Head Stud - Stainless
82-19-180-20,82-19-180-20 - #82 Phillips Oval Head Stud - Stainless
82-19-200-20,82-19-200-20 - #82 Phillips Oval Head Stud - Stainless
82-32-201-20,82-32-201-20 - Push-On Retainer - Stainless - 82
85-11-140-16,85-11-140-16 - N
85-11-140-20,85-11-140-20 - #85 Slotted Oval Head Stud - Stainless
85-11-160-20,85-11-160-20 - #85 Slotted Oval Head Stud - Stainless
85-11-180-20,85-11-180-20 - #85 Slotted Oval Head Stud - Stainless
85-11-200-16,85-11-200-16 - N
85-11-200-20,85-11-200-20 - #85 Slotted Oval Head Stud - Stainless
85-14-060-16,85-14-060-16 - #85 Flush Slotted - Stainless
85-32-150-18,85-32-150-18 - N
85-34-201-20,85-34-201-20 - Push-On Retainer - Stainless - 85
85-35-295-15,85-35-295-15 - Leaf Spring with Base - Steel
8RX1/2FHAS100,8RX1/2FHAS100 - #8 Phillips Head
8RX1/2FHBS100,8RX1/2FHBS100 - #8 Phillips Head
8RX1/2THA,8RX1/2THA - #8 Phillips Head(sold in bags of 100)
8RX1/2THAS,8RX1/2THAS - #8 Phillips Head
8RX1/2THB,8RX1/2THB - #8 Phillips Head
8RX1/2THBS,8RX1/2THBS - #8 Phillips Head
8RX3/4THAS,8RX3/4THAS - #8 Phillips Head
8RX3/8THAS,8RX3/8THAS - #8 Phillips Head
8RX3/8THBS,8RX3/8THBS - #8 Phillips Head
8RX5/8FHBS100,8RX5/8FHBS100 - N
8RX5/8OHAS,8RX5/8OHAS - #8 Phillips Head
8RX5/8THA,8RX5/8THA - #8 Phillips Head(sold in bags of 100)
