so_number,kit_part_number,qty_ordered,qty_shipped,invoice_numbers
10744,RV1014J-C1S,1,1,10744
10745,RV8J-C1P,1,1,10745
10745,SK4P3-T26,1,1,10745
10749,PA-SEMINOLE,2,2,10749
10756,C182-C5P,1,1,10756
10764,C340-C1P,1,1,10764
10774,C210-C2P,2,2,10774
10780,RV-OD1,3,3,10780
10784,M20-BAT1S,1,1,"10784, 10784, 02, 10784, 03"
10784,RV679J-C1P,1,1,"10784, 10784, 02, 10784, 03"
10784,SK203C150P4,1,1,"10784, 10784, 02, 10784, 03"
10784,SK203C172P-FW4,1,1,"10784, 10784, 02, 10784, 03"
10791,RV8J-C1P,1,1,10791
10796,BE-KINGAIR 300,1,1,10796
10796,KA90-NP1,1,1,10796
10807,RV679J-C1P,1,1,10807
10814,RV1014J-C1P-UF,1,1,10814
10816,C210-C1P,1,1,10816
10817,RV1014J-C1P,1,1,10817
10820,SK4P3-T26,1,1,10820
10839,M20-BAT1P,1,1,10839
10844,C172C2800P,1,1,10844
10845,B55-RAD,4,4,10845
10848,C152-C1P,1,1,10848
10856,PA30-C2P,1,1,10856
10857,SK203C150P4,1,1,10857
10857,SK203C172P-FW4,2,2,10857
10857,SK203C177P4,1,1,10857
10859,RV-OD1,4,4,10859
10888,SK2600FW-SET1,4,4,10888
10993,SK203C177P4,1,0,
10994,SK26S51-SET1,10,10,10994
11023,PA34-C2P,1,1,11023
11028,C172-C1P,3,3,"11028, 11028, 02"
11028,RV-OD1,6,6,"11028, 11028, 02"
11028,RV1014J-C1P,1,1,"11028, 11028, 02"
11028,RV679J-C1P-UF,1,1,"11028, 11028, 02"
11029,C210-C1P,1,1,11029
11030,C150-C1,1,1,"11030, 11030, 02"
11030,C210-C1P,1,1,"11030, 11030, 02"
11030,RV1014J-C1P,1,1,"11030, 11030, 02"
11030,SK203C150P-SD2,1,1,"11030, 11030, 02"
11030,SK203C172P-FW4,2,2,"11030, 11030, 02"
