part_number,description
AC500-C1,Engine Cowling - Slotted
AC500-C1P,Engine Cowling - Phillips
AC500-C2,Engine Cowling - Slotted
AC500-C2A,Engine Cowling - Slotted
AC500-C2AP,Engine Cowling - Phillips
AC500-C2P,Engine Cowling - Phillips
AC500-C3,Engine Cowling - Slotted
AC500-C3P,Engine Cowling - Phillips
AC500-C4,Engine Cowling - Slotted
AC500-C4P,Engine Cowling - Phillips
AC690-NA1P,Nose Access Panels - Phillips
AC690-NA1S,Nose Access Panels - Slotted
B35LC2090,Stainless Aloc #2 - Incl. Grommets - Replacement
B35LC27S,Stainless SK2700S - Collard Slot - Conversion
B35LC28P,Stainless SK28S3S - Phillips - Conversion
B35LC40P,SK40S5S Stainless - Phillips - Conversion
B35LC40S,SK4002S Stainless - Collard Slot - Conversion
B35LC5080,Aloc #5 Stainless - Incl. Grommets - Replacement
B35LC5100,Aloc #5 Stainless - Incl. Grommets - Replacement - Bonanza Cheek
B35UC40P,Stainless SK40S5S - Phillips - Conversion
B35UC40S,Stainless SK4002S - Collard Slot - Conversion
B35UC530,Stainless ZLOC - Replacement
B36UC530,
B55-AFP,Aft Fuselage Panel #5 Aloc (Not all airframes)
B55-AP,
B55-AS1,"Air Scoop (TE1 thru TE1078, TH1 thru TH740, No B55)"
B55-AS2,"AIR SCOOP (TE1079 Up, TH741 Up, No B55)"
B55-AS3,Air Scoops #2 and #5 Aloc
B55-BD,Bag Door #5 Aloc Wing (TE-1 thru 451)
B55-C1,Collared Slotted
B55-C1P,B55 Baron Cowling Kit (Phillips)
B55-C2,Collared Slotted
B55-C2P,Phillips
B55-EP,Filter Access Panels #4 ZLoc (B55 Only)
B55-EPD,"Baron, 55,A55,B55,B55a TC,C55,D55,E55TE-1-1078,E55 TE 1079-On,B58-TH1-On, B56 T61-94 Option"
B55-FG,Fuel Gauge Panels #5 Aloc (Not all airframes)
B55-NC,Lower Nose Cowling #5 ZLoc
B55-NP1,Nacelle Panel #4 ZLoc
B55-NP2,Nacelle Panels #2 Aloc
B55-RAD,Radome #5 Aloc
B56-C1P,Phillips
B58P-AS1,Air Scoop Induction #4 ZLoc
B60-C1,Collared Slotted
B60-C1P,Phillips
B60-LP1P,Lower Panels - Phillips P4-P144
B60-LP1S,Lower Panels - Slotted P4-P144
B60-LP2P,Lower Panels - Phillips P145-P247
B60-LP2S,Lower Panels - Slotted P145-P247
B76-C1,B76-C1 Stainless Steel Fastener Kit
B76-C1P,B76-C1P STAINLESS STEEL FASTENER KIT
B95-AFP,Fuselage Access Panel
B95-C1,Collared Slotted
BE-BARON55,BE-BARON55
BE-BARON58,BE-BARON58
BE-BONANZA,AIRCRAFT TRIM KIT
BE-KINGAIR,TRIM SCREW KIT (STEEL)
BE-KINGAIR 300,Includes stainless AN509/MS27039
BE-KINGAIR 90,90 Series Screw Kit
BE-KINGAIR AFT FUSELAGE,AFT FUSELAGE ACCESS PANELSn(Round Panels - 4 per Aircraft)
BE-KINGAIR ENGINE COWL,"ENGINE COWLING FASTENERSnOn some C90, F90 Aircraft"
BE-KINGAIR NOSE ALOCS,NOSE CONPARTMENT PANELS NOTED ON ALL BUT C90A
BE-KINGAIRENG,
BE-MUSKETEER,BE-MUSKETEER
BE-TRAVELAIR,Beech Travelair Trim Kit
BEL-SCOUT,Trim Kit
BEL-VIKING,Trim Kit
BM-C1,Direct Replacement Kit - Slotted
BM-C1P,Direst Replacement Kit - Phillips
BM-C1S,MS27039 Screw Kit
BM-C2,BM-C2
BM-C2P,BM-C2P
C-120/140,Trim Kit
C-150/152,Trim Kit
C-170,Trim Kit
C-172/172RG,TRIM KIT
C-180/185,C-180/185
C-182/182RG,Trim Kit
C-206/207,Trim Kit
C-208,TRIM KIT
C-210,C-210
C-310-1,Trim Kit
C-310-2,Trim Kit
C-335/340,TRIM KIT
C-336/337,Trim Kit
C-401/402,C-401/402
C-411/414,Trim Kit
C-421,Trim Kit
C-AGWAGON,C-AGWAGON
C100-AF1,Air Filter Fasteners #5 ALoc
C100-EAD3,Engine Access Door
C100-EAD4,Engine Access Door CLoc Conversion
C100-EAD5,Access Door #5 Wing ALoc - Original
C100-EPD1P,External Power Door Fastener - Phillips
C100-EPD1S,External Power Door Fastener - Slotted
C100-GPD1P,
C150-C1,Slotted Southco - Direct Replacement
C150-C1P,Phillips Southco - Direct Replacement
C150-FT1,Fuel Tank Kit- 1 Wing
C150-FTLR,Long Range
C150C2800P,Screw Cowling - SK25S4S
C152-C1,Collard Slotted - Direct Replacement
C152-C1P,Phillips Fastener - Direct Replacement
C152-C2,"SLOTTED CESSNA 152 Serial #81196-86035, 0780-1049 Late 78 - 86nC152, A152n"
C152-C2P,"CESSNA 152 Serial #81196-86035, 0780-1049 Late 78 - 86nC152, A152n"
C172-C1,Slotted Southco - Direct Replacementn
C172-C1P,Phillips Southco - Direct Replacement
C172-C2,Slotted Southco /4002s - Direct Replacement
C172-C2P,Phillips Southco - Direct Replacement
C172-C3,Slotted 2700 / 4002 - Direct Replacement
